label,text
normal,Ok. No wahala. Just remember that a friend in need ...
normal,I will see in half an hour
normal,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
normal,\Hey sorry I didntgive ya a a bellearlier hunny
normal,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA
normal,"Tee hee. Off to lecture, cheery bye bye."
normal,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
normal,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
normal,Ok...
spam,network operator. The service is free. For T & C's visit 80488.biz
normal,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
normal,Wot u up 2 u weirdo?
normal,Can do lor...
normal,Dont put your phone on silent mode ok
normal,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..
normal,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
normal,Oh ho. Is this the first time u use these type of words
normal,Am I the only one who doesn't stalk profiles?
normal,Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
normal,Yes i thought so. Thanks.
normal,But if she.s drinkin i'm ok.
normal,"Just wondering, the others just took off"
normal,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
normal,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
normal,Happy new year to u too!
normal,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
normal,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... 
normal,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
normal,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
normal,Happy birthday... May all ur dreams come true...
normal,Aiyah u did ok already lar. E nydc at wheellock?
normal,TELL HER I SAID EAT SHIT.
normal,Sure! I am driving but will reach my destination soon.
normal,"K so am I, how much for an 8th? Fifty?"
normal,Your daily text from me ÛÒ a favour this time
normal,Great to hear you are settling well. So what's happenin wit ola?
normal,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
normal,I tot u reach liao. He said t-shirt.
normal,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
normal,I cant pick the phone right now. Pls send a message
normal,Your right! I'll make the appointment right now.
normal,Designation is software developer and may be she get chennai:)
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
normal,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.
normal,"Ok, be careful ! Don't text and drive !"
normal,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
normal,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
normal,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
normal,How abt making some of the pics bigger?
normal,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
normal,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
normal,Why nothing. Ok anyway give me treat
spam,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
normal,Ok...
normal,Correct. So how was work today
normal,"Just sent again. Do you scream and moan in bed, princess?"
normal,"I wake up long ago already... Dunno, what other thing?"
normal,Oh just getting even with u.... u?
normal,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?
normal,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
normal,Yeah jay's sort of a fucking retard
normal,"Sorry, was in the bathroom, sup"
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
normal,My exam is for february 4. Wish you a great day.
normal,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
normal,"Aight no rush, I'll ask jay"
normal,Good Morning plz call me sir
normal,It's ok lar. U sleep early too... Nite...
normal,"Oh... Icic... K lor, den meet other day..."
normal,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
normal,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
normal,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
normal,Then she buying today? ÌÏ no need to c meh...
normal,Aight sorry I take ten years to shower. What's the plan?
normal,Every monday..nxt week vl be completing..
normal,Might ax well im there.
normal,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
normal,Yeah I'll try to scrounge something up
normal,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
normal,Were somewhere on Fredericksburg
normal,Que pases un buen tiempo or something like that
normal,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
normal,She doesnt need any test.
normal,"Nothing much, chillin at home. Any super bowl plan?"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
normal,Bugis oso near wat... 
normal,Yo theres no class tmrw right?
normal,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
normal,"Goodnight, sleep well da please take care pa. Please."
normal,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
normal,Convey my regards to him
normal,U ned to convince him tht its not possible witot hurting his feeling its the main
normal,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
normal,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
normal,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
normal,Yo dude guess who just got arrested the other day
normal,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
normal,What does the dance river do?
normal,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
normal,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
normal,Bbq this sat at mine from 6ish. Ur welcome 2 come
normal,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_"
normal,Alright. I'm out--have a good night!
normal,Did you try making another butt.
normal,Hope you are feeling great. Pls fill me in. Abiola
normal,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?
normal,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
normal,We're finally ready fyi
normal,Auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
normal,"Ya tel, wats ur problem.."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
normal,i dnt wnt to tlk wid u
normal,We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\ Goodnight!
normal,Its ok my arm is feeling weak cuz i got a shot so we can go another time
normal,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
normal,"Storming msg: Wen u lift d phne, u say \HELLO\ Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \Margaret Hello\ She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
normal,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
normal,All e best 4 ur exam later.
normal,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
normal,Oh k.i think most of wi and nz players unsold.
normal,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
normal,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
normal,"Haha just kidding, papa needs drugs"
normal,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
normal,Oh ok..
normal,R we still meeting 4 dinner tonight?
normal,Thats cool! I am a gentleman and will treat you with dignity and respect.
normal,Shall i start from hear.
normal,Then we wait 4 u lor... No need 2 feel bad lar...
normal,No did you check? I got his detailed message now
normal,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
normal,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
normal,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
normal,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
normal,cool. We will have fun practicing making babies!
normal,Actually getting ready to leave the house.
normal,K..k..any special today?
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
normal,Then we gotta do it after that
normal,"I've got ten bucks, jay is being noncomittal"
normal,Where at were hungry too
normal,Pls speak to that customer machan.
normal,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
normal,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
normal,So wats ur opinion abt him and how abt is character?
normal,Jay is snickering and tells me that x is totally fucking up the chords as we speak
normal,No..few hours before.went to hair cut .
normal,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
normal,Lmao. Take a pic and send it to me.
normal,\Speak only when you feel your words are better than the silence...\ Gud mrng:-)
normal,No. She's currently in scotland for that.
normal,Do you work all this week ?
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
normal,Lol great now im getting hungry.
normal,Yes.. now only saw your message..
normal,I'll be at mu in like  &lt;#&gt;  seconds
normal,Ok...
normal,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
normal,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\ for the entire month of february"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
normal,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
normal,My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\
normal,Thanks for ve lovely wisheds. You rock
normal,You intrepid duo you! Have a great time and see you both soon. 
normal,I asked sen to come chennai and search for job.
normal,Dad went out oredi... 
normal,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
normal,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
normal,"Arms fine, how's Cardiff and uni? "
normal,In fact when do you leave? I think addie goes back to school tues or wed
normal,Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\ :)
normal,Ya:)going for restaurant..
normal,"Its ok., i just askd did u knw tht no?"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
normal,Those ducking chinchillas
normal,I am in a marriage function
normal,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
normal,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
normal,say thanks2. 
normal,Msg me when rajini comes.
normal,Ya! when are Ì_ taking ure practical lessons? I start in june..  
normal,"That's good, because I need drugs"
normal,Stupid.its not possible
normal,Can Ì_ all decide faster cos my sis going home liao..
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
normal,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA
normal,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
normal,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
normal,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
normal,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...
normal,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
normal,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
normal,I wont touch you with out your permission.
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL
normal,7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\... good morning dear
normal,Take some small dose tablet for fever
normal,Oh. U must have taken your REAL Valentine out shopping first.
normal,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
normal,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
normal,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
normal,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
normal,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
normal,Why you keeping me away like this
normal,I think its far more than that but find out. Check google maps for a place from your dorm.
normal,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
normal,Have you always been saying welp?
normal,"I'm a guy, browsin is compulsory"
normal,Ok...
normal,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
normal,"Sorry, I'll call later"
normal,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
normal,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
normal,I told your number to gautnormal..
normal,Tell them no need to investigate about me anywhere.
normal,Ok i juz receive..
normal,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
normal,In the end she might still vomit but its okay. Not everything will come out.
normal,How are you with moneY...as in to you...money aint a thing....how are you sha!
normal,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
normal,Hey gals.. Anyone of u going down to e driving centre tmr?
normal,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
normal,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
normal,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
normal,Host-based IDPS for linux systems.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
normal,Don no da:)whats you plan?
normal,Ill be there on  &lt;#&gt;  ok.
normal,Oh my God. I'm almost home
normal,Total video converter free download type this in google search:)
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
normal,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
normal,Sounds like something that someone testing me would sayy
normal,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
normal,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
normal,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
normal,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
normal,Hows the cnormalp just leaving glasgow!
normal,K:)all the best:)congrats...
normal,I wonder if you'll get this text?
normal,I need to come home and give you some good lovin...
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
normal,Shall i ask one thing if you dont mistake me.
normal,Check wid corect speling i.e. Sarcasm
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
normal,Are you angry with me. What happen dear
normal,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
normal,Yup ok thanx...
normal,Hi:)cts employee how are you?
normal,Pls pls find out from aunt nike.
normal,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
normal,No screaming means shouting..
normal,Hey what happen de. Are you alright.
normal,Should I have picked up a receipt or something earlier
normal,I think chennai well settled?
normal,Oh dang! I didn't mean o send that to you! Lol!
normal,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
normal,Horrible bf... I now v hungry...
normal,Remember on that day..
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
normal,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
normal,All sounds good. Fingers . Makes it difficult to type
normal,Midnight at the earliest
normal,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
normal,K come to nordstrom when you're done
normal,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
normal,Now press conference da:)
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
normal,After completed degree. There is no use in joining finance.
normal,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
normal,Shant disturb u anymore... Jia you...
normal,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
normal,"Me, i dont know again oh"
normal,Dude sux for snake. He got old and raiden got buff
normal,He says hi and to get your ass back to south tampa (preferably at a kegger)
normal,In e msg jus now. U said thanks for gift.
normal,U too...
normal,Ok how you dear. Did you call chechi
normal,Yeah we do totes. When u wanna?
normal,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
normal,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
normal,Wat r u doing?
normal,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
normal,Single line with a big meaning::::: \Miss anything 4 ur \Best Life\ but
normal,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
normal,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
normal,Dude just saw a parked car with its sunroof popped up. Sux
normal,Get ready to put on your excellent sub face :)
normal,Tmrw. Im finishing 9 doors
normal,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
normal,I am late. I will be there at
normal,"whatever, im pretty pissed off."
normal,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
normal,I dont have that much image in class.
normal,No:-)i got rumour that you going to buy apartment in chennai:-)
normal,Near kalainar tv office.thenampet
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
normal,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
normal,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
normal,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
normal,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
normal,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
normal,"Why is that, princess? I bet the brothas are all chasing you!"
normal,"I shall book chez jules for half eight, if that's ok with you?"
normal,Hhahhaahahah rofl wtf nig was leonardo in your room or something
normal,"Yep, at derek's house now, see you Sunday &lt;3"
normal,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
normal,"Sorry, I'll call later"
normal,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
normal,There are no other charges after transfer charges and you can withdraw anyhow you like
normal,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
normal,At 4. Let's go to bill millers
normal,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
normal,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
normal,That's my honeymoon outfit. :)
normal,Will it help if we propose going back again tomorrow
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
normal,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
normal,Pls confirm the time to collect the cheque.
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
normal,Daddy will take good care of you :)
normal,"Yeah probably, I still gotta check out with leo"
normal,K.then any other special?
normal,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
normal,Ok pa. Nothing problem:-)
normal,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
normal,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
normal,When you came to hostel.
normal,Ok no prob... I'll come after lunch then...
normal,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
normal,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
normal,You all ready for * big day tomorrow?
normal,I'll probably be around mu a lot
normal,645
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
normal,Thnx dude. u guys out 2nite?
normal,Me sef dey laugh you. Meanwhile how's my darling anjie!
normal,Mm i had my food da from out
normal,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
normal,Did u download the fring app?
normal,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
normal,Friends that u can stay on fb chat with
normal,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
normal,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
